"","x"
"296","TOPHAM J, 1998, J ARCHAEOL SCI"
"297","SABAS E, 1988, FOR ECOL MANAGE"
"298","KELLY PM, 2002, HOLOCENE"
"299","ROSENDAHL G, 2006, ANTHROPOLOGIE"
"300","HANECA K, 2005, J ARCHAEOL SCI"
"301","JOHANSEN S, 2001, J GEOPHYS RES C OCEANS"
"302","WANG G, 2007, ACTA HORTIC"
"303","MANIATIS Y, 1989, "
"304","HILLAM J, 1995, ARCHAEOMETRY"
"305","ROMAGNOLI M, 2004, DENDROCHRONOLOGIA"
"306","SAVVA JV, 2006, MITIGATION ADAPT STRATEG GLOBAL CHANGE"
"307","WAZNY T, 2002, DENDROCHRONOLOGIA"
"308","FARMER GL, 1997, BULL GEOL SOC AM"
"309","TEICHMÜLLER M, 1992, INT J COAL GEOL"
"310","ČUFAR K, 2007, TREE-RING RES"
"311","POPESCU C-M, 2007, J ANAL APPL PYROLYSIS"
